true\pred,Audio,BIOS,BSOD,Connectivity,HLK,ICPS,OEM Tools,P2P,Performance,Power Consumption,RF,Roaming,Sensing,System Hang,UEFI,YB/Lost
Audio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOS,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
BSOD,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0
Connectivity,0,0,0,40,0,0,1,2,0,0,0,0,2,2,0,3
HLK,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
ICPS,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
OEM Tools,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0
P2P,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Performance,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0
Power Consumption,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
RF,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Roaming,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Sensing,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
System Hang,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
UEFI,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0
YB/Lost,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
