created_date,assignee_email,assignee_team,technology,ips_id,ips_title,predicted_category_existing,predicted_category_model,confidence,human_category,label_notes
2022-03-15,,wifi,WiFi,00690623,[HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX201][WIFI][Win11]The DUT will disconnect from AP  during roaming is triggered,,Roaming,,,[補標目標: Roaming]
2025-10-12,,wifi,WiFi,00981326,[Lenovo-IdeaPad][wistron][Field_issue][Enterprise-Network][Jasper Lake][AX201][500W GEN4]WiFi show no internet after Roaming in the school.,,Roaming,,,[補標目標: Roaming]
2018-03-21,,wifi,WiFi,00224365,[HP/SIO1577354][Catan][GLK/7265/W10] [t430][18WWDTAJ6aq][Win10]Intel 9260 driver will show yellow mark after change roaming aggressiveness in device manager,,Roaming,,,[補標目標: Roaming]
2023-12-06,,wifi,WiFi,00849195,TSMC Roaming issue,,Roaming,,,[補標目標: Roaming]
2020-08-26,,wifi,WiFi,00540868,[Lenovo-ThinkPad][Wistron][L13 Gen2][TGL-U][AX201&9560][20H1][100%] SUT WiFi Ping and XCopy is not stable during Wifi Roaming Test,,Roaming,,,[補標目標: Roaming]
2021-07-04,,wifi,WiFi,00627070,Wireless LAN kept roaming to incorrectly Access Point,,Roaming,,,[補標目標: Roaming]
2022-07-19,,wifi,WiFi,00721947,[HUAWEI][HUAQIN][MachC][Intel CML][Intel 9560][WIFI][Win11] System will auto roam to low AP.,,Roaming,,,[補標目標: Roaming]
2020-10-07,,wifi,WiFi,00550291,[ASUS in house][CML][UX434FAC][AX201]Roaming test fail,,Roaming,,,[補標目標: Roaming]
2017-01-25,,wifi,WiFi,00161160,[HP/SIO1389856][Oldman 1.0][KBL/8265/WIN10]Roaming to 5Ghz AP always even 2.4G RSSI better than 5Ghz AP.,,Roaming,,,[補標目標: Roaming]
2021-09-13,,wifi,WiFi,00645226,<Customer issue>[Lenovo ThinkPad China][LCFC][AX200]][L15]It could not automatically connect AP unless user reconnected manually during roaming environment,,Roaming,,,[補標目標: Roaming]
2025-02-24,,wifi,WiFi,00940565,[lenovo/DT BU][In-house][ARL-PCB2][AX211][ M970ts]Wireless DIsplay??????  ?,,Miracast,,,[補標目標: Miracast]
2023-07-11,,wifi,WiFi,00815391,"[Samsung][P230711-05053] When running Chrome and playing YouTube on an extended monitor connected via Miracast to a Galaxy S8+, the Miracast connection is disconnected.",,Miracast,,,[補標目標: Miracast]
